题号,题目,类型,难度,介绍,思路,第一轮完成情况,第二轮完成情况,题目链接
121,买卖股票的最佳时机,数组、动态规划,easy,"给定一个数组，它的第 i 个元素是一支给定股票第 i 天的价格。
如果你最多只允许完成一笔交易（即买入和卖出一支股票），设计一个算法来计算你所能获取的最大利润。","动态规划，跟53最大子序和很像。O(n), O(1)",√√,,https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock
122,买卖股票的最佳时机 II,贪心算法,easy,"给定一个数组，它的第 i 个元素是一支给定股票第 i 天的价格。
设计一个算法来计算你所能获取的最大利润。你可以尽可能地完成更多的交易（多次买卖一支股票）。",贪心算法，直接逢低买入，逢高卖出即可,√√,,https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-ii/
125,验证回文串,字符串、双指针,easy,给定一个字符串，验证它是否是回文串，只考虑字母和数字字符，可以忽略字母的大小写。,双指针，直接一个头一个尾判断即可，注意用transform()函数先转换为小写，遇到空格跳过即可,√√,,https://leetcode-cn.com/problems/valid-palindrome
136,只出现一次的数字,位运算、哈希表,easy,给定一个非空整数数组，除了某个元素只出现一次以外，其余每个元素均出现两次。找出那个只出现了一次的元素。,"1. 哈希表，O(n), O(n)
2. 位运算，O(n), O(1)。所有的数直接做异或操作",√,,https://leetcode-cn.com/problems/single-number/
141,环形链表,,easy,给定一个链表，判断链表中是否有环。,"1. 哈希表, O(n), O(n)
2. 快慢指针 O(n), O(1)",√√,,https://leetcode-cn.com/problems/linked-list-cycle/
155,最小栈,栈、设计,easy,设计一个支持 push，pop，top 操作，并能在常数时间内检索到最小元素的栈。,使用变量或辅助栈存储当前的最小值,√√,,https://leetcode-cn.com/problems/min-stack/
160,相交链表,链表,easy,编写一个程序，找到两个单链表相交的起始节点。,"双指针法，O(n), O(1)
根据原理 a + all + b = b + all + a
顺序遍历，当a到结尾时从b头开始遍历，对b同理，如果一轮结束两者还没有共同交点，则无交点。",√,,https://leetcode-cn.com/problems/intersection-of-two-linked-lists/
169,多数元素,位运算、分治法,easy,给定一个大小为 n 的数组，找到其中的多数元素。多数元素是指在数组中出现次数大于 ⌊ n/2 ⌋ 的元素。,"1. 摩尔投票法：直接设置一个buffer和一个count，如果下个数跟前一个一样则count++，否则--，count为0则更换buffer为当前数。O(n), O(1)
2. 预排序，取中位数。O(nlogn), O(n)
3. 哈希表，O(n), O(n)
4. 分治法，求左右两边的众数",√√,,https://leetcode-cn.com/problems/majority-element/
171,Excel表列序号,数学,easy,给定一个Excel表格中的列名称，返回其相应的列序号。,其实就是相当于26进制转10进制,√√,,https://leetcode-cn.com/problems/excel-sheet-column-number/
172,阶乘后的0,数学,easy,给定一个整数 n，返回 n! 结果尾数中零的数量。,数论题，第一次没想到。其实是数含5的因数的数量，而且对25，625..等5的幂要多算一次,×,,https://leetcode-cn.com/problems/factorial-trailing-zeroes/
189,旋转数组,数组,easy,给定一个数组，将数组中的元素向右移动 k 个位置，其中 k 是非负数。,方法很巧妙，先将数组反转，再将前k个和后n-k个分别反转即可。三次反转操作。时间O(n)，空间O(1),×,,https://leetcode-cn.com/problems/rotate-array
190,颠倒二进制位,位运算,easy,颠倒给定的 32 位无符号整数的二进制位。,建一个mask用与运算一位一位的取，把它放到该放的位置即可,√√,,https://leetcode-cn.com/problems/reverse-bits/
191,位1的个数,位运算,easy,编写一个函数，输入是一个无符号整数，返回其二进制表达式中数字位数为 ‘1’ 的个数（也被称为汉明重量）。,建一个mask用与运算一位一位取就行了,×,,https://leetcode-cn.com/problems/number-of-1-bits/
198,打家劫舍,动态规划,easy,"你是一个专业的小偷，计划偷窃沿街的房屋。每间房内都藏有一定的现金，影响你偷窃的唯一制约因素就是相邻的房屋装有相互连通的防盗系统，如果两间相邻的房屋在同一晚上被小偷闯入，系统会自动报警。
给定一个代表每个房屋存放金额的非负整数数组，计算你在不触动警报装置的情况下，能够偷窃到的最高金额。","动态规划，currentMax = max(num + prepreMax, preMax); 即每一步都分为抢当前的和不抢当前的两种情况。O(n), O(1)",√√,,https://leetcode-cn.com/problems/house-robber/
202,快乐数,哈希表、数学,easy,一个“快乐数”定义为：对于一个正整数，每一次将该数替换为它每个位置上的数字的平方和，然后重复这个过程直到这个数变为 1，也可能是无限循环但始终变不到 1。如果可以变为 1，那么这个数就是快乐数。,"核心在于如何找到循环。
1. 用一个set存储见过的平方和，发生重复时结束。空间占用大。
2. “快慢指针”思想。空间复杂度O(1)",√,,https://leetcode-cn.com/problems/happy-number
203,移除链表元素,链表,easy,删除链表中等于给定值 val 的所有节点。,比数组中删除给定数的简单，毕竟链表的增删只需要O(1)，而且操作简单,√√,,https://leetcode-cn.com/problems/remove-linked-list-elements/
204,计数质数,哈希表、数学,easy,统计所有小于非负整数 n 的质数的数量。,"1. 暴力法。但只考虑奇数。
2. 厄拉多塞筛法",√,,https://leetcode-cn.com/problems/count-primes
206,反转链表,链表,easy,反转一个单链表。,"1.迭代：转化成vector再转化回链表  
2.也可以递归",√√,,https://leetcode-cn.com/problems/reverse-linked-list
217,存在重复元素,数组、哈希表,easy,"给定一个整数数组，判断是否存在重复元素。
如果任何值在数组中出现至少两次，函数返回 true。如果数组中每个元素都不相同，则返回 false。",哈希表存就行，送分题,√√,,https://leetcode-cn.com/problems/contains-duplicate/
225,用队列实现栈,栈、设计,easy,使用队列实现栈的操作,"1. push()时正常push
2. 但是取top()和pop()时，要用一个临时队列存一下，把当前队列的值都掏出来，直到取到队尾的值",√√,,https://leetcode-cn.com/problems/implement-stack-using-queues/
226,翻转二叉树,树,easy,翻转一颗二叉树,交换左右子节点指针，递归翻转左右子树即可,√√,,https://leetcode-cn.com/problems/invert-binary-tree/
231,2的幂,位运算、数学,easy,给定一个整数，编写一个函数来判断它是否是 2 的幂次方。,标准的用位掩码做检测的题,√√,,https://leetcode-cn.com/problems/power-of-two
232,用栈实现队列,栈、设计,easy,跟225题正好相反,操作跟225题正好相反，也是push时正常push，但是Pop和获取top元素时，要用一个临时栈存一下，把原栈里的元素都掏出来,√√,,https://leetcode-cn.com/problems/implement-queue-using-stacks/
234,回文链表,链表、双指针,easy,请判断一个链表是否为回文链表。,"1. 转成vector暴力匹配，O(n), O(n)
2. 快慢指针，反转前半部分链表。O(n), O(1)",√,,https://leetcode-cn.com/problems/palindrome-linked-list/
235,二叉检索树的最近公共祖先,树,easy,"给定一个二叉搜索树, 找到该树中两个指定节点的最近公共祖先。",递归，比较当前两个值跟当前根节点的值，在同一侧的话，则从根节点往左或右侧找，在两侧的话则当前点即为要找的最近公共祖先,√√,,https://leetcode-cn.com/problems/lowest-common-ancestor-of-a-binary-search-tree
237,删除链表中的节点,链表,easy,删除链表中的一个非尾节点的节点，但只给了该节点，而没有头指针。,脑筋急转弯，把下一个node的值复制到当前node，将下一个node删除即可,√√,,https://leetcode-cn.com/problems/delete-node-in-a-linked-list
242,有效字母的异位词,排序、哈希表,easy,给定两个字符串 s 和 t ，编写一个函数来判断 t 是否是 s 的字母异位词(anagram)。,"1. 哈希表，空间换时间,O(n), O(n)
2. 预排序，O(nlogn)，O(1)",√√,,https://leetcode-cn.com/problems/valid-anagram/
243,最短单词距离,数组,easy,给定一个单词列表和两个单词 word1 和 word2，返回列表中这两个单词之间的最短距离。,一次遍历即可，每次发现一个word1或者word2，就更新一下位置，算一下距离，最后返回最近的距离即可,√√,,https://leetcode-cn.com/problems/shortest-word-distance/
246,中心对称数,哈希表、数学,easy,中心对称数是指一个数字在旋转了 180 度之后看起来依旧相同的数字（或者上下颠倒地看）。,"这个题有个巧的地方是可以用哈希表存一个原数到对称后的数的表，例如6->9, 9->6 等等，先将数翻转，看跟原数是否相等即可",√√,,https://leetcode-cn.com/problems/strobogrammatic-number/
252,会议室,排序,easy,给定一个会议时间安排的数组，每个会议时间都会包括开始和结束的时间，判断一个人是否能参加全部会议,自定义排序函数，对所有区间进行排序，再看有没有重叠部分即可,√√ ,,https://leetcode-cn.com/problems/meeting-rooms/
258,各位相加,数学,easy,给定一个非负整数 num，反复将各个位上的数字相加，直到结果为一位数。 (能否O(1)时间解决？),观察后发现，如果这个数末尾是9，则答案是9，否则是num % 9,×,,https://leetcode-cn.com/problems/add-digits/
263,丑数,数学,easy,"判断给定的数是否是丑数
丑数是只包含质因数2,3,5的正整数",不用去分解质因数，直接让当前数不断地去除2，3，5，看剩的是不是1 即可,×,,https://leetcode-cn.com/problems/ugly-number/
268,缺失数字,位运算、数组、数学,easy,"给定一个包含 0, 1, 2, ..., n 中 n 个数的序列，找出 0 .. n 中没有出现在序列中的那个数。",算出理论的和（根据size），再算出实际和，求差就行了。,√×,,https://leetcode-cn.com/problems/missing-number/
271,存在重复元素,数组、哈希表,easy,给定一个整数数组，判断是否存在重复元素。,"直接建哈希表，空间换时间。时间O(n), 空间O(n)",√√,,https://leetcode-cn.com/problems/contains-duplicate/
283,移动零,数组、双指针,easy,给定一个数组 nums，编写一个函数将所有 0 移动到数组的末尾，同时保持非零元素的相对顺序。,跟前边题号26一样。把后边的数都压缩到前边，最后的空位拿0填上就行了,√√,,https://leetcode-cn.com/problems/move-zeroes/
292,Nim游戏,脑筋急转弯,easy,你和你的朋友，两个人一起玩 Nim 游戏：桌子上有一堆石头，每次你们轮流拿掉 1 - 3 块石头。 拿掉最后一块石头的人就是获胜者。你作为先手.  假设你每一步去拿最优解，判断在给定石头数量下能否赢得游戏,如果是4的整数倍，赢不了。否则能赢,√,,https://leetcode-cn.com/problems/nim-game/
326,3的幂,数学,easy,给定一个整数，写一个函数来判断它是否是 3 的幂次方。,"return n > 0 && 1162261467%n == 0;
那个数是int范围里最大的3的幂，只要某数能被其整除则一定是3的幂（等价条件）",×,,https://leetcode-cn.com/problems/power-of-three/
344,反转字符串,字符串,easy,"编写一个函数，其作用是将输入的字符串反转过来。输入字符串以字符数组 char[] 的形式给出。
不要给另外的数组分配额外的空间，你必须原地修改输入数组、使用 O(1) 的额外空间解决这一问题。",直接镜像互换就行了，算出目标位置，对应位置直接调换。,√√,,https://leetcode-cn.com/problems/reverse-string/
346,数据流中的移动平均值,设计、队列,easy,给定一个整数数据流和一个窗口大小，根据该滑动窗口的大小，计算其所有整数的移动平均值。,用队列存数据，实时更新里边的平均值即可，存里边的数的和，这样时间复杂度只要O(1),√√,,https://leetcode-cn.com/problems/moving-average-from-data-stream/
350,两个数组的交集 II,排序、哈希表、双指针、二分查找,easy,给定两个数组，编写一个函数来计算它们的交集。,"1. 预排序
2. 哈希表，空间换时间",√√,,https://leetcode-cn.com/problems/intersection-of-two-arrays-ii/
371,两整数之和,位运算,easy,不使用运算符 + 和 - ​​​​​​​，计算两整数 ​​​​​​​a 、b ​​​​​​​之和。,先算出不进位的结果，再算出进位的结果,×,,https://leetcode-cn.com/problems/sum-of-two-integers/
387,字符串中的第一个唯一字符,字符串、哈希表,easy,给定一个字符串，找到它的第一个不重复的字符，并返回它的索引。如果不存在，则返回 -1。,"直接拿哈希表做就行了，时间O(n), 空间O(n)",√√,,https://leetcode-cn.com/problems/first-unique-character-in-a-string
392,判断子序列,贪心、动态规划、二分查找,easy,给定字符串 s 和 t ，判断 s 是否为 t 的子序列。,直接贪心找，别搞花里胡哨的,√√,,https://leetcode-cn.com/problems/is-subsequence/
412,FizzBuzz,,easy,"写一个程序，输出从 1 到 n 数字的字符串表示。
1. 如果 n 是3的倍数，输出“Fizz”；
2. 如果 n 是5的倍数，输出“Buzz”；
3.如果 n 同时是3和5的倍数，输出 “FizzBuzz”。",遍历三次，第一次在3的倍数上写Fizz，第二次在5的倍数上写Buzz，最后一次在什么都没有的字符串上写原数字,√√,,https://leetcode-cn.com/problems/fizz-buzz/
415,字符串相加,字符串,easy,给定两个字符串形式的非负整数 num1 和num2 ，计算它们的和。,跟67题 二进制求和，用同样的模板就行。每次记录住当前的进位位，把num1[i] + num2[i] + jinwei算出即可,√,,https://leetcode-cn.com/problems/add-strings/
437,路径总和III,树,easy,"找出二叉树找出路径和等于给定数值的路径总数。
路径不需要从根节点开始，也不需要在叶子节点结束",dfs深搜。分两种情况，包括当前节点或不包括,√,,https://leetcode-cn.com/problems/path-sum-iii/
448,找到数组中所有消失的数字,数组,easy,"给定一个范围在  1 ≤ a[i] ≤ n ( n = 数组大小 ) 的 整型数组，数组中的元素一些出现了两次，另一些只出现一次。
找到所有在 [1, n] 范围之间没有出现在数组中的数字。
要求：不使用额外空间且时间复杂度为O(N)",原地标记法，每当看到一个数，把对应位置的数给转成负数，已经为负的不再转，最后看哪些位置的数依然是正的即可。 关键是利用题中条件，数的范围给了，所以可以在下标上做文章,×,,https://leetcode-cn.com/problems/find-all-numbers-disappeared-in-an-array/
461,汉明距离,位运算,easy,两个整数之间的汉明距离指的是这两个数字对应二进制位不同的位置的数目。给出两个整数 x 和 y，计算它们之间的汉明距离。,求出两个数异或值，用位掩码找1的数量即可,√,,https://leetcode-cn.com/problems/hamming-distance/
557,反转字符串中的单词III,字符串,easy,给定一个字符串，你需要反转字符串中每个单词的字符顺序，同时仍保留空格和单词的初始顺序。,没有任何难度，只是字符串处理而已,√√,,https://leetcode-cn.com/problems/reverse-words-in-a-string-iii/
581,最短无序连续子数组,数组,easy,给定一个整数数组，你需要寻找一个连续的子数组，如果对这个子数组进行升序排序，那么整个数组都会变为升序排序。,先将数组排序，再去比较即可，从左右两侧逼近，确定左右边界,√√,,https://leetcode-cn.com/problems/shortest-unsorted-continuous-subarray/
617,合并二叉树,树,easy,"给定两个二叉树，想象当你将它们中的一个覆盖到另一个上时，两个二叉树的一些节点便会重叠。
你需要将他们合并为一个新的二叉树。合并的规则是如果两个节点重叠，那么将他们的值相加作为节点合并后的新值，否则不为 NULL 的节点将直接作为新二叉树的节点。",跟检测两个二叉树是不是相等的那个题一样，直接无脑递归,√√,,https://leetcode-cn.com/problems/merge-two-binary-trees/
687,最长同值路径,树、递归,easy,给定一个二叉树，找到最长的路径，这个路径中的每个节点具有相同值。 这条路径可以经过也可以不经过根节点。,这道题绝壁不是一道easy的题，跟那道hard的题124题，一样。在递归期间，要算出当前的最大值，同时返回给上一层的只能是包括一半的最大值max（根+左，根+右），而不能是以当前节点为根节点的最大值,√,,https://leetcode-cn.com/problems/longest-univalue-path/
728,自除数,数学,easy,"自除数 是指可以被它包含的每一位数除尽的数。
给定上边界和下边界数字，输出一个列表，列表的元素是边界（含边界）内所有的自除数。",暴搜 ， 无语,√√,,https://leetcode-cn.com/problems/self-dividing-numbers
933,最近的请求次数,队列,easy,"写一个 RecentCounter 类来计算最近的请求。
后边一堆乱七八糟的",没有任何难度，队列就完事了 ,√√,,https://leetcode-cn.com/problems/number-of-recent-calls/
997,找到小镇的法官,图 ,easy,给一个邻接表，找到一个点，它不指向任何其他的点，但所有其它的点都指向他,找到那个出度为0，入度为n-1的点即可,√√,,https://leetcode-cn.com/progress/
1042,不邻接植花,图 ,easy,其实就是精确覆盖问题（上色）,这个题毕竟只是easy，暴搜就行,√√,,https://leetcode-cn.com/problems/flower-planting-with-no-adjacent/
,, ,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2,两数相加,链表、数学,medium,给出两个 非空 的链表用来表示两个非负的整数。其中，它们各自的位数是按照 逆序 的方式存储的，并且它们的每个节点只能存储 一位 数字。,关键在于处理逢9会进位的情况,√√,,https://leetcode-cn.com/problems/add-two-numbers/
3,无重复字符的最长子串,哈希表、双指针,medium,给定一个字符串，请你找出其中不含有重复字符的 最长子串 的长度。,"1. 暴力法，纯暴力法O(n^3)必超时，如果用哈希表判断是否存在也要O(n^2)。
2. 滑动窗口",√,,https://leetcode-cn.com/problems/longest-substring-without-repeating-characters/
5,最长回文子串,字符串、动态规划,medium,给定一个字符串 s，找到 s 中最长的回文子串,"1. 中心扩展算法。每次从一个字符向左右两边扩张（分奇偶情况），发现左右不相等就停，以获得最长结果，比DP要好。O(n^2), O(1)
2. 动态规划。先找到所有的一字母回文和二字母回文，再找三字母。。以此类推。O(n^2). O(1).",√√,,https://leetcode-cn.com/problems/longest-palindromic-substring/
8,字符串转整数,数学、字符串,medium,请你来实现一个 atoi 函数，使其能将字符串转换成整数。,难点在于处理空格、非字符符号、负号等情况。看着简单写起来麻烦，浪费时间,√√,,https://leetcode-cn.com/problems/string-to-integer-atoi/
11,盛水最多的容器,双指针,medium,"给定 n 个非负整数 a1，a2，...，an，每个数代表坐标中的一个点 (i, ai) 。在坐标内画 n 条垂直线，垂直线 i 的两个端点分别为 (i, ai) 和 (i, 0)。找出其中的两条线，使得它们与 x 轴共同构成的容器可以容纳最多的水。","1. 暴力法。可以AC，时间很长。
2. 双指针法。其实就是一种贪心方法，从两侧出发，每次将较短的板向内移动一格。因为向内移动长板必然不会使容积增大，但移动短板可能会使容积增大。",√,,https://leetcode-cn.com/problems/container-with-most-water/
15,三数之和,数组、双指针,medium,"给定一个包含 n 个整数的数组 nums，判断 nums 中是否存在三个元素 a，b，c ，使得 a + b + c = 0 ？找出所有满足条件且不重复的三元组。
答案中不可以包含重复的三元组。",预排序。之后按顺序每次选一个数，然后再从剩余数里用双指针法选后两个数。本题关键在于如何去重。,×,,https://leetcode-cn.com/problems/3sum/
16,最接近的三数之和,数组、双指针,medium,"给定一个包括 n 个整数的数组 nums 和 一个目标值 target。找出 nums 中的三个整数，使得它们的和与 target 最接近。
返回这三个数的和。存在唯一答案。",其实跟上边15题一样，先预排序，然后按顺序每次选一个数，再从剩下的数里用双指针去选后两个，当和比target大了就让大的往左移，和比target小了就让小的往右移。,√,,https://leetcode-cn.com/problems/3sum-closest/
17,电话号码的字母组合,字符串、回溯算法,medium,给定一个仅包含数字 2-9 的字符串，返回所有它能表示的字母组合。(参照九宫格键盘）,就是标准的回溯算法、套模板即可,√√,,https://leetcode-cn.com/problems/letter-combinations-of-a-phone-number/
18,四数之和,数组、哈希表、双指针,medium,给定一个包含 n 个整数的数组 nums 和一个目标值 target，判断 nums 中是否存在四个元素 a，b，c 和 d ，使得 a + b + c + d 的值与 target 相等？找出所有满足条件且不重复的四元组。,"跟三数之和类似，外层两层嵌套循环，固定住前两个数，然后双指针从后边找后两个数，并且要保证解不能重复即可。
要注意的是如何避免重复，这里很容易出错。每当某个数用过了，要记得跳过当前数",√,,https://leetcode-cn.com/problems/4sum/
19,删除链表的倒数第N个节点,双指针,medium,"给定一个链表，删除链表的倒数第 n 个节点，并且返回链表的头结点。
进阶：只使用一趟扫描实现","一趟扫描，双指针，设置dummyhead, 一个指针先走n步，另一个后出发，当第一个指针到了null时，慢指针的next即为要删除的节点。(其实在n之前的每个节点依然被访问了两次，跟两趟遍历差不多，复杂度完全相同，感觉没什么意义）",√,,https://leetcode-cn.com/problems/remove-nth-node-from-end-of-list/
22,括号生成,字符串、回溯算法,medium,给出 n 代表生成括号的对数，请你写出一个函数，使其能够生成所有可能的并且有效的括号组合。,直接回溯算法，剪枝的判断条件为：如果右括号数量大于左括号则剪掉,√√,,https://leetcode-cn.com/problems/generate-parentheses/
24,两两交换链表中的节点,链表,medium,"给定一个链表，两两交换其中相邻的节点，并返回交换后的链表。
例如： 1->2->3->4， 要返回2->1->4->3
要求进行实际的节点交换，而不能只交换值。",dummyHead大法，其实就是考察操作链表的基本功。,√√,,https://leetcode-cn.com/problems/swap-nodes-in-pairs/
33,搜索旋转排序数组,二分查找,medium,"假设按照升序排序的数组在预先未知的某个点上进行了旋转。( 例如，数组 [0,1,2,4,5,6,7] 可能变为 [4,5,6,7,0,1,2] )。
搜索一个给定的目标值，如果数组中存在这个目标值，则返回它的索引，否则返回 -1 。","1. 二分查找直接搜索目标值，其实就是注意划分条件，确定好应该往左找还是往右找。
2. 二分查找寻找旋转轴，然后判断应该在哪个区域做二分查找，思路简单但实现比较麻烦",√√,,https://leetcode-cn.com/problems/search-in-rotated-sorted-array/
34,排序数组中查找某元素的第一个和最后一位置,二分查找,medium,,二分查找的经典题型。分别找到左边界和右边界。这个题很值得多练习,×,,https://leetcode-cn.com/problems/find-first-and-last-position-of-element-in-sorted-array/
36,有效的数独,哈希表,medium,检查数独是否有冲突,维护三个哈希表的List，9个行表，9个列表，9个块表，遍历一遍整个矩阵，分别做冲突检查，再检查主从对角线。时间复杂度O(n^2),√,,https://leetcode-cn.com/problems/valid-sudoku/
46,全排列,回溯算法,medium,"给定一个没有重复数字的序列，返回其所有可能的全排列。
",回溯算法,×,,https://leetcode-cn.com/problems/permutations/
48,旋转图像,数组,medium,"给定一个 n × n 的二维矩阵表示一个图像。
将图像顺时针旋转 90 度。 必须使用原地算法",一个很巧妙的办法是，先将矩阵转置，再reverse每一行即可。时间复杂度O(n^2),√,,https://leetcode-cn.com/problems/rotate-image/
